post_id,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19
106,0.1572886,-0.1335533,-0.056781128,-0.028346676,-0.034999833,-0.05362551,0.1750958,-0.05290537,0.1867959,-0.080970846,0.2927075,-0.11587119,-0.04626971,-0.05049723,-0.16669711,0.23482268,0.06877738,-0.12946162,-0.12950431,-0.079128556
33,0.17692502,-0.13426311,0.032858655,0.3271941,-0.14603814,-0.12778486,-0.09401666,0.05192128,0.078713745,0.042594675,0.2759179,-0.057848625,0.07528886,0.37850407,0.06409826,0.054130003,-0.13997717,-0.008150425,0.008480162,0.02193455
81,0.17251588,-0.060745716,0.057512686,0.3428339,0.002868788,-0.02091472,-0.04830067,0.016849907,-0.028950254,-0.021282984,0.23976764,0.041323625,0.11903933,0.39483693,0.019817721,-0.06850866,0.061430868,-0.06276897,0.000620958,0.09839843
86,0.19671656,-0.07666121,0.022169326,0.4043862,-0.13850245,-0.06390607,-0.028276447,-0.003056119,-0.03042589,-0.101065606,0.27041662,0.0105464,0.051632628,0.43592435,0.04751551,0.03298088,-0.051515386,-0.06673774,-0.006952643,-0.07645
90,0.05989306,-0.028676122,0.06526868,0.1775474,-0.020791428,0.047212515,-0.04185207,-0.08975609,-0.08023143,0.04103191,0.101755664,0.020455047,0.116705626,0.22047085,0.038672928,-0.08421136,0.001183486,0.06998319,-0.004000919,-0.07602407
91,0.16333856,-0.071459666,-0.000180754,0.20887639,-0.098637596,-0.08106622,0.014383112,-0.002937,0.020960324,0.056182843,0.24923073,-0.0135181,0.010135122,0.2524622,0.074363634,0.093540154,-0.06681115,-0.02832249,0.026307771,0.12647149
92,0.12662792,-0.07825964,0.07961512,0.40110317,-0.076092966,-0.022158893,-0.035849728,-0.008034079,-0.18594272,-0.08733156,0.1698828,0.0220901,0.14691618,0.41428283,0.045928895,-0.060839795,-0.010416236,-0.042714227,0.09314826,-0.09316688
93,0.10117259,-0.08656392,0.03650032,0.11824047,-0.0649568,0.062125262,0.04875316,-0.06327356,-0.12035399,-0.12138533,0.16679446,-0.03381674,0.045652635,0.13099164,0.1273504,-0.057717524,0.07416091,-0.033610836,0.091313936,-0.21546812
95,0.16876052,-0.050349995,0.044688873,0.18965627,0.035839774,-0.119333565,-0.08152819,0.032855622,-0.054605935,0.07225093,0.21167271,0.05500981,0.10286634,0.26621673,-0.031658027,-0.1350836,-0.15018177,0.068867445,0.09529617,-0.039024346
98,0.21503505,-0.13595775,0.05261922,0.3892595,-0.024595523,-0.08033131,-0.08480241,-0.013641141,0.004428428,-0.09041707,0.30329123,-0.026203418,0.11896233,0.46129647,0.025798773,-0.056827035,-0.015208562,-0.061981756,-0.03208052,-0.012961203
